cas_id	inchi
100005	InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H
100016	InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2
100027	InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H
100043296	InChI=1S/CH2N4/c1-2-4-5-3-1/h1H,(H,2,3,4,5)
100046002	
1000493	InChI=1S/C7H18Si/c1-5-6-7-8(2,3)4/h5-7H2,1-4H3
1000506	InChI=1S/C6H15ClSi/c1-4-5-6-8(2,3)7/h4-6H2,1-3H3
100057612	InChI=1S/C11H14N4O/c16-10-4-2-1-3-9(10)15-7-14-8-5-12-6-13-11(8)15/h5-7,9-10,16H,1-4H2
100058193	InChI=1S/C11H14N6/c12-16-10-9-11(14-6-13-10)17(7-15-9)8-4-2-1-3-5-8/h2,4,6-8H,1,3,5,12H2,(H,13,14,16)
100061	InChI=1S/C9H10O2/c1-7(10)8-3-5-9(11-2)6-4-8/h3-6H,1-2H3
100062586	InChI=1S/C12H11Cl3O3/c1-11(2,12(13,14)15)18-10-8-6-4-3-5-7(8)9(16)17-10/h3-6,10H,1-2H3
100062677	InChI=1S/C12H11Cl5O3/c1-6(5-19-11(18)12(2,16)17)20-10-4-8(14)7(13)3-9(10)15/h3-4,6H,5H2,1-2H3
10006287	
1000631	InChI=1S/C8H18O/c1-5-6-7-9-8(2,3)4/h5-7H2,1-4H3
100072	InChI=1S/C8H7ClO2/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3
1000868	InChI=1S/C7H12/c1-6(2)5-7(3)4/h5H,1H2,2-4H3
10008738	InChI=1S/C5H6O2/c1-4-2-3-5(6)7-4/h1-3H2
1000879	InChI=1S/C7H12/c1-6(2)5-7(3)4/h1-4H3
10008909	
100094	InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)
100096591	InChI=1S/C13H19NO2/c1-5-16-12(15)14-11-9-7-6-8-10(11)13(2,3)4/h6-9H,5H2,1-4H3,(H,14,15)
100098213	InChI=1S/C9H18N2/c1-2-5-10-7-4-8-11(9-10)6-3-1/h1-9H2
100098224	InChI=1S/C10H20N2/c1-2-4-7-12-9-5-8-11(10-12)6-3-1/h1-10H2
100098235	InChI=1S/C10H18N2/c1-5-11-6-2-9(1)12-7-3-10(11)4-8-12/h9-10H,1-8H2
100107	InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3
10010932	InChI=1S/C5H5F3N2/c1-3-2-4(10-9-3)5(6,7)8/h2H,1H3,(H,9,10)
100118	InChI=1S/C7H6BrNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2
100120216	InChI=1S/C12H13Cl3O3/c1-8-7-9(13)3-4-10(8)17-5-6-18-11(16)12(2,14)15/h3-4,7H,5-6H2,1-2H3
100123384	InChI=1S/C12H10BrN5/c1-8-6-11(18-12(16-8)14-7-15-18)17-10-4-2-9(13)3-5-10/h2-7,17H,1H3
